Vardas                   Pavardė                        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15 Egzaminas
VardasNR1                PavardeNR1                        8         2         5         1         3         7         1         4         6         2         4         9         3         9         5         9
VardasNR2                PavardeNR2                        1         4         9         8         4         2         5         7         3         8         3         3         9         2         4         6
VardasNR3                PavardeNR3                        7         2         2         3         5         1        10         4         1         4         2         6        10         8         7         4
VardasNR4                PavardeNR4                        9         8         9         2         9         7         4         8         3         9         9        10         8         2         8         4
VardasNR5                PavardeNR5                       10         5         5         9        10         5         5         4        10         6         6         8         9         5         5         3
VardasNR6                PavardeNR6                        8         8        10         5         7         9         3         7         7         2         7         4         3         3         1         4
VardasNR7                PavardeNR7                        7         8         8        10         6         8         4         2         1        10         7         6         4         9         8         3
VardasNR8                PavardeNR8                        4         2         3         5        10         4         3         1         3         9        10        10         6        10         3         3
VardasNR9                PavardeNR9                        4         6         9         6         5         9         8         5         2         6         6         3         4         4         5         9
VardasNR10               PavardeNR10                       1         7         4         5         6         6         3         8        10         2         6         3         6         3         5         7
VardasNR11               PavardeNR11                       9         5         1         3         5         3         8         3         6         8         2         5         5         3         3         6
VardasNR12               PavardeNR12                       7        10         2         3         5         7         8         2         7        10         9         5         6         2         3         2
VardasNR13               PavardeNR13                       8        10         7         3         8         7         6         9         9        10         1         1        10         7         7         1
VardasNR14               PavardeNR14                       6        10         6         2         4         2         4         6         8         9         8         6         2         5         5         9
VardasNR15               PavardeNR15                       2         5         2        10         8        10         6         3         6         7         3         7         3         3         5        10
VardasNR16               PavardeNR16                       3         1         9         5         4         7         5         1         1         8         8         7         4         7         2         2
VardasNR17               PavardeNR17                       5         7         3         7         7         6         7         7         3         2         2         4         2         9         2         7
VardasNR18               PavardeNR18                       9         2         1         7        10         7        10         5        10         1         8         1        10         7         7         6
VardasNR19               PavardeNR19                       4         4         1         6         4        10         2         1         3         3         7        10         7         3         5         1
VardasNR20               PavardeNR20                       4         9         9         6         4         3         9         9         8         1         4         6         5         8         2         9
VardasNR21               PavardeNR21                       6         3         5        10         3         9         6         8         7        10         4         1         4         7         4         2
VardasNR22               PavardeNR22                       5         2         7         9         3        10         9         2        10        10         7         7         7         9         2         2
VardasNR23               PavardeNR23                       1         5         8         5         9         1         7         6         8         7         2         4         1         4         9         4
VardasNR24               PavardeNR24                       4         6         6         5         3         3         6         5         4         2        10         6         2        10         6         8
VardasNR25               PavardeNR25                       2         2        10        10         3         7         6         7         9         4         7         1         3         2         7         3
VardasNR26               PavardeNR26                       5         8         2         7         7         7         3         6         6         2         9         9         5        10         8        10
VardasNR27               PavardeNR27                      10         2         2        10         9         2         1         6         5         6         8         2         5         7         2         1
